cmp_vto_abs,iin_amp,pass,latency_ns,energy_j,energy_per_op_j
0.50,100u,FAIL,NA,NA,NA
0.50,120u,FAIL,NA,NA,NA
0.50,140u,FAIL,NA,NA,NA
0.50,160u,FAIL,NA,NA,NA
0.50,180u,FAIL,NA,NA,NA
0.50,200u,FAIL,NA,NA,NA
0.50,220u,PASS,2.233,1.120208e-11,9.335063e-13
0.45,100u,FAIL,NA,NA,NA
0.45,120u,FAIL,NA,NA,NA
0.45,140u,FAIL,NA,NA,NA
0.45,160u,FAIL,NA,NA,NA
0.45,180u,FAIL,NA,NA,NA
0.45,200u,FAIL,NA,NA,NA
0.45,220u,PASS,2.177,1.144553e-11,9.537939e-13
0.40,100u,FAIL,NA,NA,NA
0.40,120u,FAIL,NA,NA,NA
0.40,140u,FAIL,NA,NA,NA
0.40,160u,FAIL,NA,NA,NA
0.40,180u,FAIL,NA,NA,NA
0.40,200u,FAIL,NA,NA,NA
0.40,220u,PASS,2.153,1.170946e-11,9.757882e-13
0.35,100u,FAIL,NA,NA,NA
0.35,120u,FAIL,NA,NA,NA
0.35,140u,FAIL,NA,NA,NA
0.35,160u,FAIL,NA,NA,NA
0.35,180u,FAIL,NA,NA,NA
0.35,200u,FAIL,NA,NA,NA
0.35,220u,PASS,2.146,1.202100e-11,1.001750e-12
0.30,100u,FAIL,NA,NA,NA
0.30,120u,FAIL,NA,NA,NA
0.30,140u,FAIL,NA,NA,NA
0.30,160u,FAIL,NA,NA,NA
0.30,180u,FAIL,NA,NA,NA
0.30,200u,FAIL,NA,NA,NA
0.30,220u,PASS,2.131,1.240113e-11,1.033428e-12
