iin_amp,neuro_pass,neuro_energy_pj,ratio_neuro_over_digital,latency_ns,total_partial_spikes
220u,PASS,3.817738000,118.153278035,2.224000000,2
180u,FAIL,2.748104000,85.049706392,0.000000000,0
150u,FAIL,2.271310000,70.293645591,0.000000000,0
120u,FAIL,1.814448000,56.154450364,0.000000000,0
100u,FAIL,1.512049000,46.795653840,0.000000000,0
80u,FAIL,1.209649000,37.436826367,0.000000000,0
60u,FAIL,0.907249200,28.078005084,0.000000000,0
40u,FAIL,0.604849500,18.719186896,0.000000000,0
30u,FAIL,0.453649700,14.039779350,0.000000000,0
20u,FAIL,0.302449800,9.360368708,0.000000000,0
