time_ns,pre,post,out
0.000,0.000000,0.129966,0.011456
0.500,0.000000,0.129966,0.011456
1.000,0.000000,0.129966,0.011456
1.500,0.000000,0.129966,0.011456
2.000,0.000000,0.129966,0.011456
2.500,0.000000,0.129966,0.011456
3.000,0.000000,0.129966,0.011456
3.500,0.000000,0.129966,0.011456
4.000,0.000000,0.129966,0.011456
4.500,0.000000,0.129966,0.011456
5.000,0.000000,0.129966,0.011456
5.500,1.800000,1.037310,1.684235
6.000,1.800000,1.351687,1.761992
6.500,1.800000,1.487469,1.772001
7.000,1.800000,1.555311,1.775523
7.500,0.000000,1.527060,1.774487
8.000,0.000000,1.480367,1.772032
8.500,0.000000,1.435145,1.769109
9.000,0.000000,1.391415,1.765668
9.500,0.000000,1.348221,1.761922
10.000,0.000000,1.308767,1.756043
10.500,0.000000,1.269313,1.750164
11.000,0.000000,1.229859,1.744286
11.500,0.000000,1.190405,1.738407
12.000,0.000000,1.154440,1.728004
12.500,0.000000,1.120297,1.715239
13.000,0.000000,1.086153,1.702475
13.500,0.000000,1.052010,1.689710
14.000,0.000000,1.017867,1.676945
14.500,0.000000,0.987156,1.650685
15.000,0.000000,0.957019,1.622172
15.500,0.000000,0.926881,1.593660
16.000,0.000000,0.898456,1.545282
16.500,0.000000,0.870640,1.486233
17.000,0.000000,0.843919,1.384163
17.500,0.000000,0.818040,1.202926
18.000,0.000000,0.792936,0.833519
18.500,0.000000,0.768643,0.490092
19.000,0.000000,0.745107,0.317132
19.500,0.000000,0.722259,0.229758
20.000,0.000000,0.700140,0.181250
20.500,0.000000,0.678709,0.149032
21.000,0.000000,0.657914,0.125469
21.500,0.000000,0.637677,0.107415
22.000,0.000000,0.618307,0.094402
22.500,0.000000,0.599095,0.082308
23.000,0.000000,0.581050,0.074257
23.500,0.000000,0.563057,0.066389
24.000,0.000000,0.545885,0.060161
24.500,0.000000,0.529226,0.054959
25.000,0.000000,0.512567,0.049757
25.500,1.800000,1.134138,1.723696
26.000,1.800000,1.389445,1.765435
26.500,1.800000,1.504363,1.773218
27.000,1.800000,1.565693,1.776083
27.500,0.000000,1.535874,1.774882
28.000,0.000000,1.488728,1.772552
28.500,0.000000,1.443448,1.769668
29.000,0.000000,1.399045,1.766431
29.500,0.000000,1.357348,1.762029
30.000,0.000000,1.315651,1.757627
30.500,0.000000,1.273954,1.753225
31.000,0.000000,1.236295,1.745467
31.500,0.000000,1.199556,1.736944
32.000,0.000000,1.162818,1.728421
32.500,0.000000,1.126079,1.719898
33.000,0.000000,1.089414,1.711197
33.500,0.000000,1.057799,1.690225
34.000,0.000000,1.026184,1.669252
34.500,0.000000,0.994570,1.648280
35.000,0.000000,0.962955,1.627308
35.500,0.000000,0.932029,1.600866
36.000,0.000000,0.903629,1.554372
36.500,0.000000,0.875657,1.496780
37.000,0.000000,0.848723,1.407031
37.500,0.000000,0.822740,1.233479
38.000,0.000000,0.797487,0.919052
38.500,0.000000,0.773006,0.535889
39.000,0.000000,0.749340,0.341653
39.500,0.000000,0.726399,0.243836
40.000,0.000000,0.704106,0.188758
40.500,0.000000,0.682544,0.153685
41.000,0.000000,0.661607,0.129325
41.500,0.000000,0.641411,0.110985
42.000,0.000000,0.621649,0.095362
42.500,0.000000,0.602598,0.085012
43.000,0.000000,0.584280,0.075884
43.500,0.000000,0.566309,0.067335
44.000,0.000000,0.548769,0.060659
44.500,0.000000,0.531891,0.055859
45.000,0.000000,0.515505,0.049783
45.500,1.800000,1.135491,1.723989
46.000,1.800000,1.390487,1.765443
46.500,1.800000,1.505073,1.773103
47.000,1.800000,1.565217,1.775861
47.500,0.000000,1.535980,1.774889
48.000,0.000000,1.488986,1.772516
48.500,0.000000,1.443598,1.769648
49.000,0.000000,1.399362,1.766402
49.500,0.000000,1.356647,1.762366
50.000,0.000000,1.316513,1.756988
50.500,0.000000,1.276379,1.751611
51.000,0.000000,1.236246,1.746233
51.500,0.000000,1.196891,1.739977
52.000,0.000000,1.162016,1.728667
52.500,0.000000,1.127141,1.717358
53.000,0.000000,1.092266,1.706049
53.500,0.000000,1.057391,1.694740
54.000,0.000000,1.024210,1.676426
54.500,0.000000,0.994201,1.644997
55.000,0.000000,0.964192,1.613567
55.500,0.000000,0.934183,1.582137
56.000,0.000000,0.904174,1.550707
56.500,0.000000,0.875604,1.499008
57.000,0.000000,0.848804,1.400655
57.500,0.000000,0.822683,1.244989
58.000,0.000000,0.797426,0.917290
58.500,0.000000,0.772993,0.535161
59.000,0.000000,0.749303,0.337814
59.500,0.000000,0.726374,0.243312
60.000,0.000000,0.704083,0.187822
60.500,0.000000,0.682550,0.154377
61.000,0.000000,0.661640,0.129286
61.500,0.000000,0.641352,0.110706
62.000,0.000000,0.621791,0.096796
62.500,0.000000,0.602820,0.085390
63.000,0.000000,0.584064,0.074753
63.500,0.000000,0.566369,0.067894
64.000,0.000000,0.548674,0.061036
64.500,0.000000,0.532065,0.055633
65.000,0.000000,0.515483,0.050267
65.500,1.800000,1.134950,1.723920
66.000,1.800000,1.389784,1.765462
66.500,1.800000,1.504536,1.773226
67.000,1.800000,1.565788,1.776087
67.500,0.000000,1.535954,1.774885
68.000,0.000000,1.488806,1.772556
68.500,0.000000,1.443524,1.769673
69.000,0.000000,1.399116,1.766438
69.500,0.000000,1.357419,1.762036
70.000,0.000000,1.315722,1.757634
70.500,0.000000,1.274025,1.753232
71.000,0.000000,1.236356,1.745482
71.500,0.000000,1.199617,1.736958
72.000,0.000000,1.162879,1.728435
72.500,0.000000,1.126141,1.719911
73.000,0.000000,1.089466,1.711235
73.500,0.000000,1.057851,1.690261
74.000,0.000000,1.026237,1.669287
74.500,0.000000,0.994623,1.648313
75.000,0.000000,0.963008,1.627339
75.500,0.000000,0.932076,1.600947
76.000,0.000000,0.903676,1.554449
76.500,0.000000,0.875702,1.496917
77.000,0.000000,0.848766,1.407267
77.500,0.000000,0.822782,1.233898
78.000,0.000000,0.797528,0.919807
78.500,0.000000,0.773046,0.536363
79.000,0.000000,0.749379,0.341900
79.500,0.000000,0.726436,0.243944
80.000,0.000000,0.704143,0.188828
80.500,0.000000,0.682580,0.153739
81.000,0.000000,0.661641,0.129361
81.500,0.000000,0.641445,0.111014
82.000,0.000000,0.621681,0.095381
82.500,0.000000,0.602630,0.085029
83.000,0.000000,0.584310,0.075898
83.500,0.000000,0.566339,0.067349
84.000,0.000000,0.548797,0.060667
84.500,0.000000,0.531918,0.055868
85.000,0.000000,0.515532,0.049790
85.500,1.800000,1.135498,1.723991
86.000,1.800000,1.390495,1.765443
86.500,1.800000,1.505082,1.773103
87.000,1.800000,1.565219,1.775862
87.500,0.000000,1.535980,1.774889
88.000,0.000000,1.488986,1.772516
88.500,0.000000,1.443598,1.769648
89.000,0.000000,1.399363,1.766402
89.500,0.000000,1.356644,1.762367
90.000,0.000000,1.316513,1.756988
90.500,0.000000,1.276382,1.751609
91.000,0.000000,1.236251,1.746229
91.500,0.000000,1.196885,1.739986
92.000,0.000000,1.162013,1.728672
92.500,0.000000,1.127140,1.717358
93.000,0.000000,1.092268,1.706043
93.500,0.000000,1.057396,1.694729
94.000,0.000000,1.024205,1.676456
94.500,0.000000,0.994198,1.645005
95.000,0.000000,0.964192,1.613553
95.500,0.000000,0.934185,1.582102
96.000,0.000000,0.904178,1.550651
96.500,0.000000,0.875604,1.498999
97.000,0.000000,0.848804,1.400647
97.500,0.000000,0.822683,1.244962
98.000,0.000000,0.797425,0.917177
98.500,0.000000,0.772993,0.535126
99.000,0.000000,0.749303,0.337905
99.500,0.000000,0.726374,0.243316
100.000,0.000000,0.704083,0.187821
100.500,0.000000,0.682549,0.154364
101.000,0.000000,0.661639,0.129273
101.500,0.000000,0.641352,0.110710
102.000,0.000000,0.621793,0.096795
102.500,0.000000,0.602822,0.085400
103.000,0.000000,0.584063,0.074755
103.500,0.000000,0.566371,0.067895
104.000,0.000000,0.548680,0.061036
104.500,0.000000,0.532062,0.055630
105.000,0.000000,0.515483,0.050277
105.500,1.800000,1.134950,1.723920
106.000,1.800000,1.389784,1.765462
106.500,1.800000,1.504537,1.773226
107.000,1.800000,1.565788,1.776087
107.500,0.000000,1.535954,1.774885
108.000,0.000000,1.488806,1.772556
108.500,0.000000,1.443524,1.769673
109.000,0.000000,1.399116,1.766438
109.500,0.000000,1.357419,1.762036
110.000,0.000000,1.315722,1.757634
110.500,0.000000,1.274025,1.753232
111.000,0.000000,1.236355,1.745482
111.500,0.000000,1.199617,1.736958
112.000,0.000000,1.162879,1.728435
112.500,0.000000,1.126141,1.719911
113.000,0.000000,1.089466,1.711235
113.500,0.000000,1.057851,1.690261
114.000,0.000000,1.026237,1.669287
114.500,0.000000,0.994623,1.648313
115.000,0.000000,0.963008,1.627339
115.500,0.000000,0.932076,1.600947
116.000,0.000000,0.903676,1.554449
116.500,0.000000,0.875702,1.496918
117.000,0.000000,0.848766,1.407268
117.500,0.000000,0.822782,1.233899
118.000,0.000000,0.797528,0.919808
118.500,0.000000,0.773046,0.536363
119.000,0.000000,0.749379,0.341900
119.500,0.000000,0.726418,0.242850
120.000,0.000000,0.704111,0.186901
