iter,phase,split,delay_ns,status,loss,timing_loss,count_penalty,order_penalty,energy_penalty,energy_pj,spike0_first_ns,spike1_first_ns,spike2_first_ns,spike3_first_ns,spike0_target_ns,spike1_target_ns,spike2_target_ns,spike3_target_ns,spike0_count,spike1_count,spike2_count,spike3_count,eval_dir
0,iter_00_train_base,train,5.000000000,OK,0.098587124,0.068467401,0.000000000,0.000000000,0.030119723,134.806547808,9.676048867,12.257209350,13.215085018,13.726522514,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_00_train_base/trace_00_5.000ns
0,iter_00_train_base,train,8.000000000,OK,0.097582822,0.067702545,0.000000000,0.000000000,0.029880277,133.734865781,12.673473367,15.255290674,16.214586022,16.726692595,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_00_train_base/trace_01_8.000ns
0,iter_00_holdout_base,holdout,6.500000000,OK,0.096753322,0.066739910,0.000000000,0.000000000,0.030013412,134.330735751,11.166304922,13.754174793,14.716145571,15.228252768,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_00_holdout_base/trace_00_6.500ns
0,iter_00_holdout_base,holdout,9.500000000,OK,0.096972294,0.067256052,0.000000000,0.000000000,0.029716242,133.000694219,14.173501905,16.755263072,17.711854722,18.223545504,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_00_holdout_base/trace_01_9.500ns
1,iter_01_train_base,train,5.000000000,OK,0.096640337,0.066521140,0.000000000,0.000000000,0.030119197,134.804193901,9.665350423,12.255554973,13.213890544,13.726548504,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_01_train_base/trace_00_5.000ns
1,iter_01_train_base,train,8.000000000,OK,0.096769573,0.066890545,0.000000000,0.000000000,0.029879028,133.729273077,12.671380952,15.253291972,16.213473221,16.726022386,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_01_train_base/trace_01_8.000ns
1,iter_01_holdout_base,holdout,6.500000000,OK,0.097375565,0.067360169,0.000000000,0.000000000,0.030015396,134.339616129,11.173360410,13.752888221,14.715053775,15.227841737,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_01_holdout_base/trace_00_6.500ns
1,iter_01_holdout_base,holdout,9.500000000,OK,0.096137649,0.066421252,0.000000000,0.000000000,0.029716397,133.001389142,14.170879497,16.753482159,17.710726161,18.223176950,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_01_holdout_base/trace_01_9.500ns
2,iter_02_train_base,train,5.000000000,OK,0.097143263,0.067023610,0.000000000,0.000000000,0.030119654,134.806239275,9.673050160,12.253382309,13.212559524,13.725646915,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_02_train_base/trace_00_5.000ns
2,iter_02_train_base,train,8.000000000,OK,0.096301115,0.066420673,0.000000000,0.000000000,0.029880442,133.735604107,12.671228391,15.251584224,16.212436794,16.725420929,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_02_train_base/trace_01_8.000ns
2,iter_02_holdout_base,holdout,6.500000000,OK,0.096704122,0.066689677,0.000000000,0.000000000,0.030014445,134.335359022,11.171473014,13.751368409,14.714077534,15.227398720,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_02_holdout_base/trace_00_6.500ns
2,iter_02_holdout_base,holdout,9.500000000,OK,0.095902842,0.066186765,0.000000000,0.000000000,0.029716078,132.999957912,14.172403175,16.751932591,17.709209354,18.223090610,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_02_holdout_base/trace_01_9.500ns
3,iter_03_train_base,train,5.000000000,OK,0.096682234,0.066562193,0.000000000,0.000000000,0.030120041,134.807973459,9.672110260,12.252219809,13.211627349,13.725309000,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_03_train_base/trace_00_5.000ns
3,iter_03_train_base,train,8.000000000,OK,0.095813825,0.065930417,0.000000000,0.000000000,0.029883408,133.748876904,12.669084027,15.249935290,16.212888990,16.726659427,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_03_train_base/trace_01_8.000ns
3,iter_03_holdout_base,holdout,6.500000000,OK,0.096321310,0.066307096,0.000000000,0.000000000,0.030014214,134.334325233,11.172354795,13.749344089,14.712932476,15.226979745,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_03_holdout_base/trace_00_6.500ns
3,iter_03_holdout_base,holdout,9.500000000,OK,0.093963583,0.064246076,0.000000000,0.000000000,0.029717507,133.006354603,14.161297460,16.750252491,17.708589276,18.222497340,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/iter_03_holdout_base/trace_01_9.500ns
4,final,train,5.000000000,OK,0.095987618,0.065866337,0.000000000,0.000000000,0.030121281,134.813523608,9.670117709,12.250674150,13.210560031,13.724875598,9.388000000,11.896000000,12.985000000,13.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/final_train/trace_00_5.000ns
4,final,train,8.000000000,OK,0.095120673,0.065238542,0.000000000,0.000000000,0.029882131,133.743161876,12.668612435,15.248344658,16.210449067,16.725069313,12.388000000,14.896000000,15.985000000,16.640000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/final_train/trace_01_8.000ns
4,final,holdout,6.500000000,OK,0.095649596,0.065634203,0.000000000,0.000000000,0.030015393,134.339602282,11.170669296,13.747647482,14.711844723,15.226720235,10.888000000,13.396000000,14.485000000,15.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/final_holdout/trace_00_6.500ns
4,final,holdout,9.500000000,OK,0.094438966,0.064721279,0.000000000,0.000000000,0.029717688,133.007163581,14.167758776,16.748662989,17.707389274,18.222413409,13.888000000,16.396000000,17.485000000,18.140000000,15,15,15,15,/home/v71349/analog-gradients/competition/sweeps/temporal_gradient_learning/20260204_182327/final_holdout/trace_01_9.500ns
